Timestamp,Open Price,High Price,Low Price,Close Price,Volume
2024-09-16 13:00:00,416.4810027266984,416.7877931340431,413.3129990834692,415.285521758032,24490487
2024-09-16 14:16:01,415.22941745965727,420.0776303648272,414.084034465305,415.8480020929182,24565782
2024-09-17 09:30:00,416.8711605675353,417.8272808856695,413.5312347792755,416.2588292132405,24334762
2024-09-17 10:46:01,416.3344299096372,417.49958128237546,411.0005971329268,411.68763342792624,23969933
2024-09-17 12:02:02,411.6195362446419,412.2957893291702,402.9711931344698,403.15859794648327,24038557
2024-09-17 13:18:03,403.18268640626223,417.160638062194,400.50980418093496,406.1896702556099,24271210
2024-09-17 14:34:04,406.1881516702508,417.6070140638385,405.883421470352,408.8686495428469,24728503
2024-09-18 09:30:00,407.5568542817845,414.3802400305999,406.7521757028678,413.2235271225084,25049904
2024-09-18 10:46:01,413.0349800750366,417.89568537062365,411.7612330998079,416.6369555375032,24592807
2024-09-18 12:02:02,416.6153321501161,417.8128372519198,414.7550371485908,417.216913146319,24463967
2024-09-18 13:18:03,417.30139661906793,417.42785125097726,407.3434597253228,413.0426337401881,24781401
2024-09-18 14:34:04,413.0434004658463,417.6092132908997,406.8098921683818,416.2006759799148,24414772
